row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
184:4,184,19,Bournemouth,BOU,Chelsea,CHE,A,3,2,2,0,2.94,2.43,0.5099999999999998,3,2,3,2,1.468743961352657,1.8375,0.551440329218107
188:16,188,19,Nott'm Forest,NFO,Everton,EVE,H,3,0,2,-2,1.89,1.44,0.44999999999999996,5,2,5,1,1.198743961352657,1.718181818181818,1.0138888888888888
188:9,188,19,Everton,EVE,Nott'm Forest,NFO,A,3,2,0,2,1.44,1.89,-0.44999999999999996,1,4,1,3,1.184830917874396,1.352112676056338,0.7619047619047619
190:19,190,19,West Ham,WHU,Brighton,BHA,H,3,2,2,0,2.12,2.85,-0.73,3,4,2,3,1.0857004830917873,2.109452736318408,0.507017543859649
190:6,190,19,Brighton,BHA,West Ham,WHU,A,3,2,2,0,2.85,2.12,0.73,3,2,3,2,1.4878743961352654,1.9723183391003463,0.5566037735849056
181:1,181,19,Arsenal,ARS,Aston Villa,AVL,H,3,4,1,3,3.17,2.67,0.5,1,2,1,3,1.6730917874396136,1.7960339943342774,0.21161048689138576
181:2,181,19,Aston Villa,AVL,Arsenal,ARS,A,5,1,4,-3,2.67,3.17,-0.5,5,4,5,4,1.146135265700483,2.373333333333333,0.39747634069400634
187:14,187,19,Man Utd,MUN,Wolves,WOL,H,1,1,1,0,0.81,1.02,-0.20999999999999996,3,3,4,4,1.7335265700483091,0.5225806451612903,1.1225490196078431
187:20,187,19,Wolves,WOL,Man Utd,MUN,A,4,1,1,0,1.02,0.81,0.20999999999999996,3,3,1,1,0.9804830917874396,1.406896551724138,1.6358024691358026
185:8,185,19,Crystal Palace,CRY,Fulham,FUL,H,3,1,1,0,1.93,1.76,0.16999999999999993,3,3,3,3,1.5804830917874393,1.2411575562700963,0.7869318181818182
185:10,185,19,Fulham,FUL,Crystal Palace,CRY,A,3,1,1,0,1.76,1.93,-0.16999999999999993,3,3,3,3,1.174830917874396,1.57847533632287,0.7331606217616581
186:12,186,19,Liverpool,LIV,Leeds,LEE,H,2,0,0,0,2.08,0.69,1.3900000000000001,3,1,3,1,1.5278743961352657,1.3290734824281152,1.5289855072463772
