team,fdr,matches,team_median_xg,mean_xg,median_xg,attack_factor_vs_team_median_xg,team_median_xga,mean_xga,median_xga,defensive_factor_vs_team_median_xga,mean_goal_difference,mean_xg_difference
Nott'm Forest,1,2,1.1,1.8699999999999999,1.8699999999999999,1.6999999999999997,1.46,0.39,0.39,3.743589743589743,1.5,1.48
Nott'm Forest,2,5,1.1,1.3679999999999999,1.1,1.2436363636363634,1.46,1.2679999999999998,0.85,1.1514195583596216,-0.2,0.1
Nott'm Forest,3,22,1.1,1.2595454545454547,1.17,1.1450413223140496,1.46,1.4859090909090908,1.46,0.9825634750688284,0.09090909090909091,-0.22636363636363638
Nott'm Forest,4,7,1.1,0.9400000000000001,0.89,0.8545454545454545,1.46,1.9242857142857144,1.59,0.7587230883444691,-0.5714285714285714,-0.9842857142857143
Nott'm Forest,5,2,1.1,0.585,0.585,0.5318181818181817,1.46,1.98,1.98,0.7373737373737373,-1.5,-1.395
Spurs,1,2,1.03,1.595,1.595,1.5485436893203883,1.335,1.045,1.045,1.2775119617224882,1.5,0.55
Spurs,2,5,1.03,1.3719999999999999,1.27,1.3320388349514563,1.335,1.354,1.34,0.9859675036927621,0.0,0.01799999999999995
Spurs,3,22,1.03,1.013181818181818,0.9,0.9836716681376874,1.335,1.3004545454545458,1.32,1.026564138413142,-0.2727272727272727,-0.28727272727272724
Spurs,4,7,1.03,0.9914285714285713,1.05,0.9625520110957003,1.335,1.5057142857142856,1.7,0.8866223908918407,-0.7142857142857143,-0.5142857142857142
Spurs,5,2,1.03,0.5900000000000001,0.5900000000000001,0.5728155339805826,1.335,1.74,1.74,0.7672413793103449,-0.5,-1.15
Sunderland,1,2,0.87,1.06,1.06,1.2183908045977012,1.365,0.44499999999999995,0.44499999999999995,3.067415730337079,2.5,0.615
Sunderland,2,4,0.87,0.7075,0.7050000000000001,0.8132183908045977,1.365,1.3275,1.3599999999999999,1.0282485875706215,0.25,-0.62
Sunderland,3,23,0.87,1.1295652173913044,1.22,1.2983508245877062,1.365,1.3421739130434782,1.18,1.0170068027210886,-0.13043478260869565,-0.21260869565217397
Sunderland,4,7,0.87,0.9971428571428572,0.88,1.1461412151067325,1.365,1.8757142857142857,1.84,0.7277227722772277,-0.42857142857142855,-0.8785714285714287
Sunderland,5,2,0.87,0.46499999999999997,0.46499999999999997,0.5344827586206896,1.365,1.9,1.9,0.718421052631579,-3.0,-1.435
West Ham,1,2,1.005,2.685,2.685,2.6716417910447765,1.4449999999999998,0.825,0.825,1.7515151515151515,2.5,1.86
West Ham,2,4,1.005,1.35,1.27,1.3432835820895526,1.4449999999999998,1.3675,1.465,1.0566727605118829,1.0,-0.017500000000000127
West Ham,3,23,1.005,1.1865217391304348,0.95,1.1806186459009302,1.4449999999999998,1.422608695652174,1.29,1.015739608801956,-0.7391304347826086,-0.23608695652173917
West Ham,4,7,1.005,0.9971428571428572,0.85,0.9921819474058282,1.4449999999999998,2.0785714285714283,1.84,0.6951890034364261,-0.8571428571428571,-1.0814285714285716
West Ham,5,2,1.005,0.74,0.74,0.7363184079601991,1.4449999999999998,2.6,2.6,0.5557692307692307,-2.5,-1.8600000000000003
Wolves,1,1,0.725,2.28,2.28,3.144827586206896,1.3250000000000002,1.43,1.43,0.9265734265734268,-1.0,0.8499999999999999
Wolves,2,4,0.725,1.865,1.8250000000000002,2.5724137931034483,1.3250000000000002,0.5925,0.5700000000000001,2.236286919831224,0.25,1.2725
Wolves,3,24,0.725,0.8429166666666664,0.725,1.1626436781609193,1.3250000000000002,1.7666666666666673,1.47,0.7499999999999999,-1.1666666666666667,-0.9237500000000002
Wolves,4,7,0.725,0.6257142857142857,0.49,0.8630541871921182,1.3250000000000002,1.467142857142857,1.54,0.903115871470302,-1.4285714285714286,-0.8414285714285714
Wolves,5,2,0.725,0.495,0.495,0.6827586206896552,1.3250000000000002,0.94,0.94,1.4095744680851066,-1.5,-0.445
